17-Nov-15	801	05-16-17-19	13
13-Nov-15	800	05-22-26-30	11
10-Nov-15	799	10-17-27-30	8
6-Nov-15	798	12-22-23-24	10
3-Nov-15	797	06-09-12-15	12
30-Oct-15	796	03-10-12-15	2
27-Oct-15	795	01-15-27-30	5
23-Oct-15	794	03-16-20-29	4
20-Oct-15	793	04-07-13-30	10
16-Oct-15	792	07-22-25-30	14
13-Oct-15	791	04-10-16-28	7
9-Oct-15	790	07-16-28-29	13
6-Oct-15	789	06-17-22-30	11
2-Oct-15	788	12-13-20-26	4
29-Sep-15	787	03-08-09-26	10
25-Sep-15	786	02-12-24-30	4
22-Sep-15	785	15-22-23-27	14
18-Sep-15	784	10-11-13-25	4
15-Sep-15	783	07-09-12-17	3
11-Sep-15	782	06-15-20-28	8
8-Sep-15	781	10-13-21-24	15
4-Sep-15	780	05-07-23-30	7
1-Sep-15	779	07-17-25-28	4
28-Aug-15	778	02-09-18-29	13
25-Aug-15	777	10-18-23-29	11
21-Aug-15	776	05-06-14-21	4
18-Aug-15	775	06-11-12-27	11
14-Aug-15	774	03-06-15-26	8
11-Aug-15	773	02-11-20-23	8
7-Aug-15	772	04-05-09-24	2
4-Aug-15	771	08-09-20-30	1
31-Jul-15	770	13-15-17-28	8
28-Jul-15	769	08-22-05-04	4
24-Jul-15	768	01-03-09-12	8
21-Jul-15	767	07-10-11-12	15
17-Jul-15	766	03-10-21-28	11
14-Jul-15	765	12-23-25-26	6
10-Jul-15	764	02-07-20-22	3
7-Jul-15	763	06-12-25-28	2
3-Jul-15	762	06-16-27-28	15
30-Jun-15	761	11-13-18-26	14
26-Jun-15	760	11-14-26-29	8
23-Jun-15	759	06-11-12-21	8
19-Jun-15	758	07-08-12-28	2
16-Jun-15	757	02-10-11-27	4
12-Jun-15	756	10-18-22-26	5
9-Jun-15	755	02-06-09-23	2
5-Jun-15	754	01-03-08-22	10
2-Jun-15	753	05-12-22-30	4
29-May-15	752	03-07-09-25	9
26-May-15	751	03-04-13-22	9
22-May-15	750	06-08-09-25	1
19-May-15	749	06-07-16-22	15
15-May-15	748	09-12-13-27	6
12-May-15	747	01-05-16-18	15
8-May-15	746	06-14-18-23	2
5-May-15	745	17-19-27-29	8
30-Apr-15	744	11-13-17-30	15
28-Apr-15	743	11-12-20-29	9
24-Apr-15	742	09-19-25-30	3
21-Apr-15	741	17-22-24-26	13
17-Apr-15	740	02-12-14-24	12
14-Apr-15	739	08-11-13-16	4
10-Apr-15	738	06-10-21-24	14
7-Apr-15	737	03-13-18-23	4
31-Mar-15	736	01-10-13-19	10
27-Mar-15	735	02-07-18-30	4
24-Mar-15	734	10-16-17-26	2
20-Mar-15	733	03-14-16-19	8
17-Mar-15	732	01-08-11-16	1
13-Mar-15	731	01-08-12-29	8
10-Mar-15	730	07-09-10-25	2
6-Mar-15	729	02-11-19-22	13
3-Mar-15	728	01-04-13-28	15
27-Feb-15	727	02-04-08-14	7
24-Feb-15	726	08-14-19-21	7
20-Feb-15	725	01-04-05-12	14
17-Feb-15	724	09-10-24-28	15
13-Feb-15	723	03-16-27-29	6
10-Feb-15	722	09-16-20-23	13
6-Feb-15	721	09-14-17-26	1
3-Feb-15	720	09-17-18-24	9
30-Jan-15	719	02-06-15-20	10
27-Jan-15	718	06-07-10-19	13
23-Jan-15	717	04-11-16-20	7
20-Jan-15	716	05-11-18-21	11
16-Jan-15	715	09-10-23-26	4
13-Jan-15	714	08-18-21-29	6
9-Jan-15	713	07-21-24-30	13
6-Jan-15	712	05-06-20-29	13
2-Jan-15	711	04-08-22-25	12
30-Dec-14	710	11-12-23-26	15
23-Dec-14	709	01-03-20-21	13
19-Dec-14	708	09-11-20-28	12
16-Dec-14	707	08-16-19-20	15
12-Dec-14	706	04-11-17-25	11
9-Dec-14	705	04-12-22-23	3
5-Dec-14	704	17-23-28-30	6
2-Dec-14	703	03-07-12-14	1
28-Nov-14	702	04-10-15-22	2
25-Nov-14	701	04-14-22-23	12
21-Nov-14	700	09-13-24-29	5
18-Nov-14	699	13-22-24-27	15
14-Nov-14	698	01-03-04-16	2
11-Nov-14	697	07-08-14-20	12
7-Nov-14	696	07-21-24-30	4
4-Nov-14	695	11-14-18-26	9
31-Oct-14	694	01-02-08-10	10
28-Oct-14	693	04-13-15-29	7
24-Oct-14	692	01-04-19-24	8
21-Oct-14	691	06-10-17-26	13
17-Oct-14	690	12-15-20-21	9
14-Oct-14	689	06-11-17-23	6
10-Oct-14	688	13-22-23-30	13
7-Oct-14	687	06-09-11-24	12
3-Oct-14	686	02-10-20-28	11
30-Sep-14	685	06-13-16-24	1
26-Sep-14	684	08-14-15-27	4
23-Sep-14	683	03-11-18-21	5
19-Sep-14	682	02-06-25-28	12
16-Sep-14	681	03-17-22-26	2
12-Sep-14	680	08-23-28-30	14
9-Sep-14	679	04-10-19-26	12
5-Sep-14	678	05-15-18-26	8
2-Sep-14	677	07-17-18-19	12
29-Aug-14	676	02-04-05-30	6
26-Aug-14	675	08-10-16-23	10
22-Aug-14	674	07-08-11-17	11
19-Aug-14	673	03-06-09-22	3
15-Aug-14	672	02-14-26-29	7
12-Aug-14	671	03-16-24-25	2
8-Aug-14	670	06-11-12-23	5
5-Aug-14	669	04-17-25-26	13
1-Aug-14	668	01-16-25-27	4
29-Jul-14	667	04-14-21-25	7
25-Jul-14	666	01-05-07-23	1
22-Jul-14	665	04-11-14-24	6
18-Jul-14	664	13-20-25-26	2
15-Jul-14	663	12-19-24-25	4
11-Jul-14	662	04-11-18-26	7
8-Jul-14	661	07-21-24-25	1
4-Jul-14	660	06-07-13-30	6
1-Jul-14	659	05-11-19-28	3
27-Jun-14	658	02-04-06-16	8
24-Jun-14	657	04-13-22-27	8
20-Jun-14	656	03-13-18-28	6
17-Jun-14	655	01-08-12-21	11
13-Jun-14	654	04-16-18-26	11
10-Jun-14	653	07-09-12-15	12
6-Jun-14	652	10-16-24-28	13
3-Jun-14	651	13-17-20-21	4
30-May-14	650	11-19-20-27	5
27-May-14	649	11-18-19-21	13
23-May-14	648	04-17-20-26	12
20-May-14	647	06-08-14-18	6
16-May-14	646	01-09-14-26	1
13-May-14	645	08-10-16-17	4
9-May-14	644	11-17-22-26	12
6-May-14	643	16-17-21-29	3
2-May-14	642	04-05-23-29	5
29-Apr-14	641	08-09-19-30	7
25-Apr-14	640	03-05-22-25	10
22-Apr-14	639	12-13-21-22	4
17-Apr-14	638	20-25-26-28	11
15-Apr-14	637	04-08-12-30	15
11-Apr-14	636	14-25-27-28	3
8-Apr-14	635	12-13-25-26	11
4-Apr-14	634	02-24-26-30	9
1-Apr-14	633	09-11-20-24	8
28-Mar-14	632	02-06-14-15	11
25-Mar-14	631	07-13-24-29	15
21-Mar-14	630	07-11-17-27	13
17-Mar-14	629	21-24-27-28	10
14-Mar-14	628	03-15-18-28	3
11-Mar-14	627	09-11-16-30	1
7-Mar-14	626	04-13-16-28	13
4-Mar-14	625	05-06-21-25	4
28-Feb-14	624	03-05-28-29	3
25-Feb-14	623	04-24-25-29	4
21-Feb-14	622	02-13-24-29	7
18-Feb-14	621	06-13-28-30	5
14-Feb-14	620	21-24-27-28	14
11-Feb-14	619	08-09-13-15	9
7-Feb-14	618	09-15-19-30	7
4-Feb-14	617	01-07-10-13	13
31-Jan-14	616	05-12-20-27	13
28-Jan-14	615	09-17-21-22	14
24-Jan-14	614	05-08-09-10	4
21-Jan-14	613	04-07-20-29	6
17-Jan-14	612	03-06-15-27	15
14-Jan-14	611	14-17-24-29	2
10-Jan-14	610	20-24-28-29	11
7-Jan-14	609	11-15-17-29	9
3-Jan-14	608	08-13-14-16	12
31-Dec-13	607	17-21-22-30	7
27-Dec-13	606	04-12-18-26	1
24-Dec-13	605	02-10-12-16	5
20-Dec-13	604	08-14-15-22	10
17-Dec-13	603	07-09-20-21	14
13-Dec-13	602	08-11-17-21	14
10-Dec-13	601	12-13-18-24	15
6-Dec-13	600	07-12-17-21	14
3-Dec-13	599	12-20-24-29	2
29-Nov-13	598	06-15-22-26	2
26-Nov-13	597	03-08-09-22	14
22-Nov-13	596	01-05-21-23	4
19-Nov-13	595	02-13-16-21	5
15-Nov-13	594	11-18-21-24	1
12-Nov-13	593	04-18-22-29	5
8-Nov-13	592	04-06-13-30	7
5-Nov-13	591	16-19-27-30	10
1-Nov-13	590	04-06-11-17	11
29-Oct-13	589	05-13-18-20	13
25-Oct-13	588	04-25-26-28	2
22-Oct-13	587	02-05-09-27	6
18-Oct-13	586	05-11-15-29	9
15-Oct-13	585	06-11-16-30	13
11-Oct-13	584	06-09-17-21	4
